policy_loss,n_updates,serial_timesteps,explained_variance,clipfrac,policy_entropy,fps,total_timesteps,time_elapsed,value_loss,approxkl,ep_reward_mean,ep_len_mean
-0.0043737646,198,405504,0.9057065844535828,0.053027343,4.8156786,437,405504,933.8470938205719,16.120388,0.00402218,814.3269498299998,1138.63
-0.003394662,199,407552,0.905881367623806,0.047167968,4.8014545,435,407552,938.5318231582642,17.307703,0.0039916397,830.9022789099998,1156.5
-0.0037014235,200,409600,0.879018247127533,0.023632813,4.7915516,465,409600,943.2318081855774,24.443401,0.0021811384,835.6274035700001,1162.99
-0.0025172485,201,411648,0.9077098071575165,0.035546876,4.7847257,441,411648,947.638017654419,24.33476,0.0031213656,844.4805789300002,1172.15
-0.001984667,202,413696,0.8776829242706299,0.047509767,4.779914,435,413696,952.2747750282288,20.327831,0.0041239937,859.83787485,1188.53
-0.00078126043,203,415744,0.8783951848745346,0.03330078,4.7825975,410,415744,956.9769248962402,20.004747,0.003400109,875.3000052300001,1203.9
-0.0042577097,204,417792,0.8759309574961662,0.057421874,4.785807,433,417792,961.9716584682465,20.926336,0.005676417,889.07996497,1217.48
-0.003119985,205,419840,0.8906387910246849,0.0519043,4.7832994,425,419840,966.6931302547455,19.678165,0.0047157253,905.6764910499999,1234.93
-0.004689036,206,421888,0.9694111421704292,0.032177735,4.7922463,440,421888,971.5018129348755,9.307974,0.0033728112,886.06347699,1212.99
-0.003024969,207,423936,0.8775353357195854,0.061181642,4.794633,424,423936,976.1469950675964,19.938877,0.004829773,902.7095842699999,1230.61
-0.0041538486,208,425984,0.8889828249812126,0.07280274,4.792629,420,425984,980.9748787879944,20.11861,0.006212404,903.14331051,1230.61
-0.0040090377,209,428032,0.871736690402031,0.09208985,4.7717752,423,428032,985.8434326648712,20.04351,0.00779756,917.4168850700001,1245.01
-0.005194475,210,430080,0.8781290054321289,0.06665039,4.7661066,453,430080,990.6780495643616,29.94701,0.0051190136,919.3607232400001,1247.66
-0.0011978166,211,432128,0.8904374986886978,0.03564453,4.769471,433,432128,995.1910264492035,20.57238,0.0031385408,933.9114712500002,1262.26
-0.0012527221,212,434176,0.8801871836185455,0.013769532,4.767806,427,434176,999.9126148223877,20.29471,0.0017814611,948.3799139199999,1276.97
-0.0022596144,213,436224,0.8766128048300743,0.024853516,4.771736,437,436224,1004.7086851596832,19.990612,0.0023471103,964.4486713400003,1293.7
-0.005048865,214,438272,0.8835530132055283,0.12573242,4.7735133,419,438272,1009.3886125087738,20.110584,0.012540931,969.7091452499999,1293.7
-0.0044610454,215,440320,0.9231783226132393,0.044287108,4.781026,425,440320,1014.276246547699,28.267862,0.0037314235,953.5642819799999,1277.02
-0.0023706423,216,442368,0.8848898336291313,0.03930664,4.8000226,424,442368,1019.0952224731445,20.62895,0.0034147066,967.7669186299999,1291.03
-0.005517951,217,444416,0.9402482472360134,0.03569336,4.8031797,444,444416,1023.9170560836792,19.34805,0.0029840483,955.6129247299998,1272.4
-0.0016142847,218,446464,0.8932230770587921,0.017871093,4.808126,452,446464,1028.5275313854218,30.74794,0.0016897492,955.0959186899998,1272.29
-0.0028500983,219,448512,0.7811719477176666,0.029589843,4.8103495,440,448512,1033.0587720870972,14.729259,0.0025338395,960.7921929700001,1282.07
-0.0069207624,220,450560,0.9682116769254208,0.0519043,4.8235884,432,450560,1037.7037463188171,9.463407,0.0050571063,942.1768470499999,1261.02
-0.0049561774,221,452608,0.8116845935583115,0.03984375,4.840525,460,452608,1042.442437171936,37.641777,0.003860311,954.03437106,1271.26
-0.0017207593,222,454656,0.9397121965885162,0.01953125,4.8509274,456,454656,1046.8860414028168,17.522543,0.001931125,929.31026879,1237.92
-0.0002981261,223,456704,0.9102083593606949,0.042675782,4.859712,436,456704,1051.375116109848,36.399513,0.004783553,943.08932392,1250.64
-0.0052525382,224,458752,0.9702300671488047,0.0296875,4.877599,456,458752,1056.068067073822,10.701788,0.0027325891,909.6000864799998,1213.27
-0.0035216492,225,460800,0.8842412084341049,0.024560547,4.895708,446,460800,1060.5519742965698,37.982132,0.0021344537,906.87879256,1208.24
-0.0067561106,226,462848,0.7951757162809372,0.038867187,4.9019203,472,462848,1065.139324426651,14.63546,0.003377534,905.95490468,1205.99
-0.004177855,227,464896,0.7155634462833405,0.032568358,4.905067,441,464896,1069.472915172577,11.337777,0.0027667736,914.26468833,1219.95
-0.0044317483,228,466944,0.7423444092273712,0.030371094,4.909314,455,466944,1074.1110880374908,24.149988,0.0025944973,916.9430153699998,1223.13
-0.0026916335,229,468992,0.8267530798912048,0.013183594,4.916939,465,468992,1078.6039814949036,19.881992,0.0013029207,870.3173752999999,1164.43
-0.0026421607,230,471040,0.8817422240972519,0.03310547,4.9199624,468,471040,1083.0079629421234,10.765019,0.0031507413,839.6449694899999,1131.7
