clipfrac,value_loss,fps,time_elapsed,approxkl,policy_loss,serial_timesteps,policy_entropy,total_timesteps,n_updates,explained_variance,ep_reward_mean,ep_len_mean
0.046044923,20.637949,335,1226.3134353160858,0.0037458097,-0.0023405633,452608,5.9528594,452608,221,0.8404780179262161,772.2529742200002,949.67
0.043603517,21.360256,327,1232.4248249530792,0.0037089612,-0.002639667,454656,5.946732,454656,222,0.8409236967563629,771.2847832599999,949.67
0.024365235,29.324549,335,1238.6840734481812,0.0022429228,-0.0026211326,456704,5.9390445,456704,223,0.847733661532402,767.8064607100001,944.01
0.025,20.08551,328,1244.7882103919983,0.0025300025,-0.0024700414,458752,5.938224,458752,224,0.7901384830474854,767.9952562400001,944.01
0.036621094,21.865776,349,1251.0247538089752,0.0034905677,-0.0019793015,460800,5.9267282,460800,225,0.8272719085216522,785.5253176900001,962.09
0.036621094,26.784286,382,1256.8933107852936,0.0030859292,-0.007605496,462848,5.918456,462848,226,0.8963788598775864,766.7314914200001,941.44
0.05517578,25.59012,352,1262.249398469925,0.004392891,-0.00370988,464896,5.9244814,464896,227,0.8918132483959198,783.0258776900002,958.84
0.009667968,22.550385,341,1268.0557687282562,0.0014445912,-0.0016721763,466944,5.9293747,466944,228,0.9054345786571503,785.2860162300001,962.05
0.0453125,21.139496,334,1274.0496480464935,0.0041194465,-0.0028314379,468992,5.920768,468992,229,0.7847170829772949,785.27401341,962.05
0.022607422,2.7183223,318,1280.1728258132935,0.0026235625,-0.003040192,471040,5.9126945,471040,230,0.9852600079029799,785.7960009099999,962.97
0.008251953,33.672905,376,1286.6083581447601,0.0010261732,-0.0012894354,473088,5.901269,473088,231,0.877611331641674,784.4747642399999,961.02
0.038378906,21.42252,347,1292.044846534729,0.0035851584,-0.0032511342,475136,5.9064217,475136,232,0.9186997786164284,767.7756951699998,945.82
0.0234375,3.286737,346,1297.935456752777,0.0026448995,-0.0057563065,477184,5.916981,477184,233,0.9814984742552042,768.0126062500001,946.41
0.05581055,20.753513,334,1303.8476457595825,0.004748391,-0.0019003877,479232,5.911761,479232,234,0.8102211654186249,767.8374177400002,946.41
0.07495117,19.510517,321,1309.9650444984436,0.005854804,-0.0053437827,481280,5.899553,481280,235,0.7218453884124756,783.8830213300002,962.83
0.005761719,20.564384,345,1316.3330409526825,0.0010546596,-0.00080963224,483328,5.8943095,483328,236,0.8296745866537094,801.92475948,980.9
0.046142578,21.600105,342,1322.2578263282776,0.0038096956,-0.005214141,485376,5.898477,485376,237,0.8699394762516022,818.3900231600003,997.51
0.03540039,26.88671,355,1328.2415664196014,0.0033174306,-0.004023816,487424,5.903812,487424,238,0.8732188642024994,818.4494550400002,1000.98
0.05131836,20.021328,317,1334.0084047317505,0.004304911,-0.0030353009,489472,5.901627,489472,239,0.7536806911230087,818.42739021,1000.98
0.06201172,19.84614,347,1340.460452079773,0.0054223216,-0.0036387201,491520,5.8859663,491520,240,0.8074364364147186,835.1942096000001,1017.2
0.024023438,27.512897,353,1346.3534109592438,0.0023921877,-0.0027839418,493568,5.876424,493568,241,0.8734963536262512,836.8014156300001,1020.16
0.021435548,20.231915,343,1352.1498034000397,0.002266978,-0.0037187703,495616,5.8791037,495616,242,0.7304251194000244,854.43109166,1037.52
0.032666016,25.189938,352,1358.1187691688538,0.0034384571,-0.0070039146,497664,5.870534,497664,243,0.87293840944767,837.24580739,1020.21
0.026855469,7.8341126,335,1363.926730632782,0.0023700134,-0.005218184,499712,5.879636,499712,244,0.9680382460355759,834.8484785400001,1015.94
0.050488282,20.855734,333,1370.0229861736298,0.0042503355,-0.0039983056,501760,5.879941,501760,245,0.8146329522132874,849.9591393099998,1029.56
0.042822264,19.589386,287,1376.1585321426392,0.0038403608,-0.0031216904,503808,5.8656163,503808,246,0.8341773301362991,867.26270171,1047.51
0.022607422,19.755135,333,1383.2783122062683,0.002574314,-0.0037148115,505856,5.8644238,505856,247,0.7303196787834167,866.48733247,1047.51
0.043164063,27.886225,354,1389.4254531860352,0.0036320551,-0.003541955,507904,5.861904,507904,248,0.8769163265824318,884.8938474799999,1066.46
0.03359375,20.058226,315,1395.1968944072723,0.003240199,-0.002421636,509952,5.8644915,509952,249,0.8248780369758606,902.19710658,1084.59
0.051123045,25.970331,352,1401.6989884376526,0.004070783,-0.004994175,512000,5.870101,512000,250,0.8769213482737541,917.9184137799998,1100.32
0.014160156,19.617685,317,1407.508591413498,0.0019598124,-0.0018905064,514048,5.870619,514048,251,0.7047708034515381,916.88658194,1100.32
