explained_variance,clipfrac,fps,value_loss,n_updates,time_elapsed,ep_len_mean,policy_loss,ep_reward_mean,serial_timesteps,approxkl,total_timesteps,policy_entropy
0.790852814912796,0.02080078,576,26.70792,880,2958.542666912079,1520.6,-0.003048045,1308.66117117,1802240,0.0023572845,1802240,3.6169286
0.9764959868043661,0.018017579,586,3.791238,881,2962.0980110168457,1502.95,0.0006045919,1291.32124456,1804288,0.0018696729,1804288,3.6260495
0.8659428805112839,0.035253905,607,32.507626,882,2965.5893545150757,1501.81,-0.002853284,1291.41193939,1806336,0.0032772154,1806336,3.6461608
0.8208851963281631,0.013378906,578,22.841908,883,2968.962237596512,1501.81,-0.0011346388,1295.0507160099999,1808384,0.0015532129,1808384,3.6586196
0.7408653199672699,0.05444336,572,20.024923,884,2972.500710964203,1517.85,-0.0032887396,1310.85978469,1810432,0.004686983,1810432,3.659696
0.8795985132455826,0.03857422,620,33.15703,885,2976.080031633377,1466.85,-0.0051452434,1263.61360158,1812480,0.0035287098,1812480,3.6637025
0.8845889791846275,0.015820313,616,24.667,886,2979.3810896873474,1434.46,-0.0032900597,1244.18846851,1814528,0.0017459115,1814528,3.665851
0.8105946779251099,0.03173828,586,20.284496,887,2982.702581167221,1434.46,-0.002373123,1245.0457905399999,1816576,0.003006531,1816576,3.6808116
0.8158774226903915,0.087646484,592,21.334175,888,2986.198307991028,1434.46,-0.004930245,1250.81479417,1818624,0.0066338414,1818624,3.6897743
0.8526840060949326,0.037158202,617,42.15965,889,2989.6555948257446,1382.65,-0.003120719,1210.59537369,1820672,0.003155804,1820672,3.6949298
0.9290158525109291,0.036083985,620,18.714603,890,2992.975759267807,1346.41,-0.005723607,1176.9950705,1822720,0.003250504,1822720,3.7081447
0.7431930005550385,0.026611328,576,19.678104,891,2996.274909257889,1346.41,-0.00074546726,1176.56362135,1824768,0.0028238161,1824768,3.7157452
0.8992956653237343,0.035546876,607,28.55621,892,2999.8253886699677,1329.05,-0.0050008395,1160.19164181,1826816,0.0029997304,1826816,3.7241013
0.7994422912597656,0.006640625,577,20.242525,893,3003.199518918991,1347.03,-0.0010513946,1177.58790512,1828864,0.00088459096,1828864,3.7418683
0.8998199999332428,0.03413086,600,22.76072,894,3006.7484571933746,1344.9,-0.002533223,1175.56001423,1830912,0.0033601623,1830912,3.737414
0.9515291675925255,0.013769532,625,13.646739,895,3010.158046245575,1328.66,-0.0031811022,1162.6358625399998,1832960,0.0016829806,1832960,3.7369778
0.9000427201390266,0.043359376,592,23.159088,896,3013.43141579628,1331.11,-0.0038130537,1163.25464642,1835008,0.0036408554,1835008,3.7443776
