approxkl,policy_loss,time_elapsed,fps,total_timesteps,policy_entropy,clipfrac,explained_variance,n_updates,serial_timesteps,value_loss,ep_len_mean,ep_reward_mean
0.0037214302,-0.0020421601,592.4925286769867,539,333824,3.5633438,0.04121094,0.9199575632810593,163,333824,4.7700305,1128.82,757.8045554900002
0.004853015,-0.0044078883,596.2857699394226,563,335872,3.558316,0.054101564,0.7319485247135162,164,335872,20.040209,1128.1,758.5160630600002
0.0048061046,-0.0011435705,599.9203884601593,551,337920,3.5555604,0.056103516,0.7770192623138428,165,337920,12.091425,1134.9,764.32331471
0.003322151,-0.003977434,603.6314940452576,548,339968,3.5463898,0.035986327,0.7553638070821762,166,339968,10.458554,1148.41,773.8032972899999
0.0040977285,-0.006311907,607.3657240867615,516,342016,3.5447936,0.047558594,0.808956041932106,167,342016,9.450154,1148.41,773.6653394399999
0.005354981,-0.0025545475,611.3297073841095,500,344064,3.5392241,0.0597168,0.7622870355844498,168,344064,10.714567,1168.35,788.2606390899999
0.005746717,-0.0034406788,615.4215977191925,505,346112,3.5347533,0.06826172,0.857215628027916,169,346112,5.1870584,1175.11,793.6027629600001
0.0039311396,-0.0023935356,619.472836971283,487,348160,3.5330875,0.043847658,0.718870997428894,170,348160,10.764879,1187.79,802.00903909
0.0041571874,-0.0026252423,623.670435667038,534,350208,3.529686,0.047021486,0.6567526459693909,171,350208,17.03536,1195.34,808.1677439499998
0.004884955,-0.0056754383,627.5016176700592,531,352256,3.5159771,0.058496095,0.7447673380374908,172,352256,17.772985,1205.66,814.9538583
0.004322813,-0.003635353,631.3573632240295,526,354304,3.5248513,0.05258789,0.7249872386455536,173,354304,13.665594,1214.3,821.9973998199999
0.004007827,-0.0042230734,635.2507116794586,528,356352,3.5417843,0.048095703,0.757824182510376,174,356352,8.982109,1207.97,816.12726051
0.005454366,-0.0048222085,639.1286716461182,521,358400,3.5459843,0.059375,0.8333270102739334,175,358400,15.560358,1220.25,824.49567071
0.0047438294,-0.0039724787,643.0593981742859,540,360448,3.5464547,0.054345705,0.906772144138813,176,360448,8.600836,1205.87,812.7991342700001
0.0031081752,-0.0011480204,646.8524041175842,512,362496,3.548753,0.032910157,0.7950776070356369,177,362496,10.479654,1219.41,823.4748640600001
0.0049637314,-0.0027168752,650.847818851471,509,364544,3.5426621,0.059472658,0.7175172865390778,178,364544,13.683475,1228.68,831.2930911799999
0.006262757,0.0011280997,654.8706567287445,534,366592,3.5460143,0.07421875,0.6581279635429382,179,366592,10.019297,1228.68,829.2007294799998
0.0033823024,-0.003373098,658.7028429508209,522,368640,3.5533385,0.03652344,0.851065531373024,180,368640,12.828299,1221.34,824.59870942
0.0041038897,-0.0027169664,662.6202614307404,522,370688,3.5523314,0.046289064,0.8302398920059204,181,370688,9.765087,1221.34,824.9680893700001
0.0041827257,-0.0033218134,666.542959690094,500,372736,3.5549889,0.050195314,0.7593464851379395,182,372736,20.85608,1224.52,826.8547884499999
0.006121668,-0.0046124,670.6318821907043,530,374784,3.5606492,0.050830077,0.7354836165904999,183,374784,12.021367,1237.12,836.5324863300001
0.0033432138,-0.0009039674,674.4945888519287,538,376832,3.5633686,0.032226562,0.8906466737389565,184,376832,6.1124687,1240.02,838.5053293300001
0.0039043482,-0.0048210514,678.3006722927094,519,378880,3.5631874,0.04116211,0.6879559457302094,185,378880,12.721594,1258.61,852.4750054400001
0.0044880505,-0.0020665182,682.241664648056,543,380928,3.5557888,0.051660158,0.7242941558361053,186,380928,13.703692,1259.18,852.69951967
0.006343047,-0.0068564066,686.0137014389038,537,382976,3.557755,0.07504883,0.9667831808328629,187,382976,2.6470492,1267.42,859.45061208
0.004451466,-0.005050069,689.8272597789764,549,385024,3.5621839,0.046679687,0.6975268423557281,188,385024,18.607674,1268.82,860.3015074
0.004932295,-0.0020979722,693.552796125412,527,387072,3.5693996,0.05698242,0.8988907486200333,189,387072,4.6013513,1277.88,866.0205377299999
0.0047175065,-0.0056556407,697.4388289451599,543,389120,3.573092,0.050927736,0.8788820207118988,190,389120,9.595559,1261.49,854.4352950699999
0.004505535,-0.0043206224,701.2097282409668,531,391168,3.5724168,0.05253906,0.8876699209213257,191,391168,8.4585705,1268.06,858.74138512
0.0051226043,-0.0083950255,705.0641613006592,556,393216,3.5704303,0.05356445,0.8848002329468727,192,393216,10.342155,1286.31,871.6243253
0.0049206736,-0.00270406,708.7446203231812,507,395264,3.5639863,0.05419922,0.6749128699302673,193,395264,11.623356,1286.31,872.35621391
0.0045027295,-0.004281549,712.7825710773468,551,397312,3.571113,0.052734375,0.7743671834468842,194,397312,9.5266485,1291.23,875.18376813
0.00395966,-0.0051411586,716.4953384399414,535,399360,3.5884888,0.046923827,0.8844397217035294,195,399360,8.83599,1301.3,882.6300071500002
0.006650449,-0.005562446,720.3213527202606,542,401408,3.5968776,0.085791014,0.7918975204229355,196,401408,9.222193,1318.0,894.8948917200001
0.0033962405,-0.0029965003,724.0993092060089,538,403456,3.5868556,0.03696289,0.81327785551548,197,403456,9.498723,1334.53,907.8959272
0.004722614,-0.0044690156,727.9003591537476,510,405504,3.5740151,0.057177734,0.7452120780944824,198,405504,10.503535,1334.53,909.43605421
0.004022076,-0.0070395893,731.9127087593079,484,407552,3.5712733,0.045214843,0.9514386057853699,199,407552,3.342649,1342.96,915.1519476
0.0051299287,-0.004196852,736.1443347930908,526,409600,3.5760803,0.055908203,0.6673460006713867,200,409600,15.630491,1342.96,914.7847985099999
0.0055146785,-0.004267628,740.0394291877747,516,411648,3.577074,0.062304687,0.8339971005916595,201,411648,9.344524,1359.48,926.1263406699999
0.0031042804,-0.0037751663,744.0087337493896,514,413696,3.5863297,0.03310547,0.8775004297494888,202,413696,7.295189,1356.36,924.70215027
0.0037576451,-0.004098907,747.9914219379425,464,415744,3.59246,0.04082031,0.7676168829202652,203,415744,10.725594,1356.36,924.7695327499999
0.004032132,-0.006016445,752.398832321167,520,417792,3.5946136,0.04560547,0.7376465499401093,204,417792,13.751859,1356.36,925.1809199899998
0.0039091343,-0.0028615766,756.3346560001373,512,419840,3.596381,0.046777345,0.6044431328773499,205,419840,15.288618,1356.36,926.1835060099997
0.0048523247,-0.0057970127,760.3324582576752,519,421888,3.6040065,0.057617188,0.7966148108243942,206,421888,13.664566,1370.45,935.7668382999999
0.0073821484,-0.004778522,764.275075674057,502,423936,3.6268888,0.087402344,0.7970814853906631,207,423936,12.060812,1382.33,944.4425506400001
0.0055285706,-0.0044185813,768.3505373001099,507,425984,3.6315975,0.06962891,0.8284952938556671,208,425984,10.923155,1392.53,953.4962227100001
0.0039001454,-0.0041676005,772.3847224712372,453,428032,3.6142,0.04111328,0.8593725562095642,209,428032,10.756343,1404.73,962.0200613199999
0.0070101633,-0.0045427773,776.8984408378601,444,430080,3.618578,0.087402344,0.5087435245513916,210,430080,10.780845,1412.25,965.93601683
0.011479863,-0.0030291264,781.5031540393829,452,432128,3.6475666,0.14731446,0.5969400405883789,211,432128,10.189707,1422.84,972.0339365199999
0.008285348,-0.0037341614,786.0285453796387,415,434176,3.6634364,0.09790039,0.6134463846683502,212,434176,12.64,1438.11,983.03643492
0.0046473583,-0.0039312025,790.9620172977448,472,436224,3.6634984,0.059814453,0.7752199321985245,213,436224,10.441139,1453.48,995.19613301
0.004481956,-0.0022649658,795.2926995754242,512,438272,3.6559048,0.04951172,0.6971656978130341,214,438272,10.683886,1457.96,999.0254832400001
0.0037582517,-0.007460504,799.2867095470428,507,440320,3.6451747,0.038964845,0.88492850959301,215,440320,5.441256,1446.17,989.5960779499999
0.003627365,-0.004723434,803.3187081813812,504,442368,3.6306095,0.040039062,0.8343339413404465,216,442368,20.638924,1444.61,989.17164701
0.005167857,-0.0028315452,807.3797197341919,468,444416,3.6275544,0.061083984,0.8978126868605614,217,444416,7.0175986,1444.46,988.9863798800001
0.0032131015,-0.0034524729,811.7502627372742,542,446464,3.6250978,0.03237305,0.7338581383228302,218,446464,13.358635,1444.46,989.64000181
0.0036272653,-0.0014919654,815.5267505645752,547,448512,3.6151912,0.042089842,0.8762019500136375,219,448512,13.403775,1473.05,1011.4242861800001
0.0040669357,-0.004393137,819.2706789970398,578,450560,3.6047623,0.042675782,0.8126079440116882,220,450560,7.4978943,1465.55,1005.79196203
0.0065334067,-0.004136027,822.813845872879,519,452608,3.6046555,0.08085938,0.712197870016098,221,452608,11.025899,1465.55,1004.6229287499998
0.0028455707,-0.00279437,826.7532525062561,544,454656,3.6176991,0.03286133,0.7936194241046906,222,454656,9.371635,1458.12,1000.2885511199999
0.0023710055,-0.0024847463,830.5176725387573,572,456704,3.6174016,0.024560547,0.7530196011066437,223,456704,17.999416,1462.9,1002.53968243
0.0043549384,-0.0026181543,834.0952908992767,581,458752,3.6236992,0.04838867,0.6821926534175873,224,458752,16.830715,1462.9,1003.1868638499999
0.0061958465,-0.0057722856,837.6153132915497,537,460800,3.6244462,0.07285156,0.6883959770202637,225,460800,13.985403,1476.93,1013.61271404
0.0064581716,-0.0053042755,841.4293630123138,512,462848,3.6252437,0.072509766,0.6433428227901459,226,462848,13.3068695,1479.05,1014.0845681500001
0.005984703,-0.003064504,845.4237725734711,550,464896,3.6267605,0.06953125,0.8378544002771378,227,464896,11.481044,1490.43,1023.0140662700001
0.0030477222,-0.003929186,849.1465339660645,513,466944,3.6273086,0.035546876,0.8144414275884628,228,466944,13.5479355,1505.14,1034.3820003399999
0.004902948,-0.0034360564,853.1373097896576,509,468992,3.6230369,0.055859376,0.9272371232509613,229,468992,4.5289464,1500.87,1031.21985053
0.003620366,-0.0059305476,857.1591989994049,506,471040,3.6242363,0.043115236,0.7908557802438736,230,471040,18.631695,1489.72,1021.47935589
0.004108933,-0.0046173125,861.201807975769,508,473088,3.6393116,0.047070313,0.921949177980423,231,473088,6.3568935,1480.57,1015.1324491000003
0.007487952,-0.011903966,865.2283396720886,491,475136,3.6680806,0.0887207,0.839948832988739,232,475136,8.684285,1491.21,1022.0427908200003
0.0030994124,-0.0039002758,869.3981876373291,529,477184,3.6937962,0.03569336,0.7981236428022385,233,477184,10.808703,1505.19,1030.3763219700002
0.0015483691,-0.0033920675,873.2661092281342,539,479232,3.7006097,0.013525391,0.957195196300745,234,479232,4.1324396,1522.98,1042.63614444
0.003930473,-0.008879942,877.0638880729675,493,481280,3.7051537,0.046044923,0.8601425141096115,235,481280,15.788069,1502.58,1027.0242539399999
0.0042926497,-0.009337015,881.2114858627319,587,483328,3.7078004,0.050585937,0.8827301785349846,236,483328,6.1877947,1494.89,1021.2767572600001
0.0063043134,-0.0042443965,884.6960744857788,564,485376,3.7158952,0.07719727,0.8735092878341675,237,485376,12.255613,1502.0,1025.91233709
0.0050447867,-0.004445131,888.3236162662506,567,487424,3.7298832,0.062353514,0.763209268450737,238,487424,14.137807,1502.0,1025.36163671
0.004195488,-0.0023394008,891.9315814971924,533,489472,3.7323184,0.045556642,0.9057740271091461,239,489472,5.766164,1499.74,1023.39922504
0.0049690115,-0.00093377614,895.768529176712,588,491520,3.7228706,0.06040039,0.753045842051506,240,491520,12.706327,1499.74,1022.7052476100001
0.003654676,-0.0049033053,899.2477653026581,540,493568,3.7142053,0.04082031,0.8376366943120956,241,493568,11.655691,1485.66,1011.3460146799999
0.0032636165,-0.0028413732,903.0365009307861,561,495616,3.7052078,0.037646484,0.841527983546257,242,495616,13.404182,1470.29,1000.17508244
0.0052018063,-0.0048108683,906.6815369129181,533,497664,3.6923668,0.06303711,0.9336441829800606,243,497664,5.612834,1477.49,1005.8950338200001
0.0029761544,-0.0034061782,910.5179557800293,561,499712,3.6842086,0.034228515,0.7705894112586975,244,499712,24.772293,1436.04,976.8447593300001
