serial_timesteps,ep_len_mean,value_loss,fps,approxkl,clipfrac,ep_reward_mean,n_updates,policy_loss,total_timesteps,policy_entropy,explained_variance,time_elapsed
131072,930.89,9.729374,445,0.0038383366,0.03642578,512.5903473400001,64,-0.003615974,131072,2.8074758,0.8872495368123055,288.53844928741455
133120,949.96,17.855265,476,0.004643718,0.056103516,526.21823924,65,-0.005653481,133120,2.8078544,0.8310353755950928,293.14108657836914
135168,960.45,8.628891,483,0.0050823637,0.05859375,534.25512156,66,-0.0032159414,135168,2.7989602,0.9067778214812279,297.4410545825958
137216,960.45,9.122985,464,0.0071597896,0.08251953,535.15968537,67,-0.00081112015,137216,2.7871382,0.910194106400013,301.6760950088501
139264,978.39,13.383517,494,0.0032738796,0.03466797,548.02328007,68,-0.0036276672,139264,2.7886882,0.8592617362737656,306.08197498321533
141312,978.35,12.930595,458,0.007844394,0.10224609,546.62692612,69,-0.005358459,141312,2.7940197,0.8342050313949585,310.22825503349304
143360,954.94,12.104116,448,0.004424563,0.054003906,531.1795231499999,70,-0.004888264,143360,2.8070111,0.8330004960298538,314.6939902305603
145408,943.98,14.83548,444,0.0035154864,0.039892577,522.65454871,71,-0.0022119721,145408,2.8137422,0.8862523138523102,319.2631256580353
147456,953.44,24.562195,488,0.0030354506,0.030957032,527.67423585,72,-0.0059144236,147456,2.8128521,0.7362801432609558,323.8752820491791
149504,971.64,9.384616,447,0.007000507,0.084228516,538.7670852399999,73,-0.0041381596,149504,2.804403,0.8265310525894165,328.0679340362549
151552,989.75,11.098047,466,0.00518788,0.06088867,550.5727964999999,74,-0.0013114251,151552,2.795359,0.847001850605011,332.6493389606476
153600,975.13,11.138223,447,0.004027798,0.043164063,540.7520216300001,75,-0.0015615862,153600,2.7915757,0.8376010656356812,337.0374186038971
155648,993.01,9.753887,467,0.0054374672,0.06621094,553.38342913,76,-0.003618934,155648,2.790176,0.8864639326930046,341.62154936790466
157696,993.01,11.057501,463,0.005285229,0.059228517,554.6747876499999,77,-0.001094484,157696,2.7903485,0.9036833122372627,346.00018548965454
159744,1007.96,9.239381,462,0.0056286426,0.06503906,566.66440771,78,-0.00036104387,159744,2.7847552,0.9108314886689186,350.4215576648712
161792,1023.67,13.491896,463,0.003224368,0.0340332,578.59100443,79,-0.0003915079,161792,2.7820983,0.9059418961405754,354.84726762771606
163840,1018.85,8.159402,444,0.0051438836,0.060253907,575.4982554200001,80,-0.004929728,163840,2.775992,0.8923709318041801,359.26808762550354
165888,1018.85,11.330979,446,0.006124758,0.07509766,574.4429799600001,81,-0.0036325161,165888,2.7781937,0.8265595436096191,363.8713824748993
167936,1018.85,16.155727,451,0.003404858,0.03564453,575.2572418100001,82,-0.0044208746,167936,2.7807128,0.8401068449020386,368.45381569862366
169984,1037.81,17.987484,473,0.005131675,0.05996094,588.82046681,83,-0.0048632612,169984,2.7842908,0.8766015619039536,372.98735451698303
172032,1050.61,10.979363,472,0.003993847,0.042529296,598.6908683500001,84,-0.0032031976,172032,2.7882943,0.9132634624838829,377.31736516952515
174080,1065.79,16.573366,424,0.004919839,0.05756836,611.00015008,85,-0.0019401631,174080,2.789997,0.8528391718864441,381.6501626968384
176128,1074.26,13.28747,366,0.0024365094,0.024560547,617.16424418,86,-0.0023455704,176128,2.7964988,0.8644702583551407,386.47751092910767
178176,1073.02,14.3080015,427,0.004561304,0.050439455,616.9526123799999,87,-0.0049573597,178176,2.804443,0.8631721287965775,392.0661823749542
180224,1078.84,6.1898837,469,0.0048830044,0.05263672,620.95060283,88,-0.004504426,180224,2.7929752,0.9422324225306511,396.85953521728516
182272,1057.68,26.222158,463,0.006304448,0.06518555,609.35281141,89,-0.004544607,182272,2.7792878,0.8232240080833435,401.22357273101807
184320,1062.69,8.521992,453,0.002159974,0.018896485,611.91403889,90,-0.002459002,184320,2.7793064,0.9075349271297455,405.6433222293854
186368,1080.71,10.699163,383,0.0037812274,0.047460936,624.7536192399999,91,-0.0043217414,186368,2.7696018,0.8942267596721649,410.1572036743164
188416,1080.87,26.166504,448,0.0060377326,0.058203124,626.55466521,92,-0.0042830473,188416,2.7777207,0.848682090640068,415.4946377277374
190464,1080.92,11.442974,476,0.0033822195,0.0362793,626.87807998,93,-0.0025117788,190464,2.792521,0.9209331646561623,420.06638836860657
192512,1080.81,16.76253,412,0.0042375163,0.043408204,626.45383621,94,-0.0010363873,192512,2.7935252,0.8834647238254547,424.36553740501404
194560,1052.61,23.377241,461,0.005374061,0.060009766,609.8918031500001,95,-0.005628565,194560,2.7986147,0.8636238425970078,429.3357231616974
196608,1057.38,7.7870817,432,0.0031478938,0.03388672,613.55284649,96,-0.0017451703,196608,2.8065305,0.9185220748186111,433.7785634994507
198656,1062.6,14.05042,397,0.0035330243,0.040771484,618.85522651,97,-0.0015750149,198656,2.814516,0.890083983540535,438.5195186138153
200704,1080.68,17.716091,418,0.0075564384,0.07744141,630.60727635,98,-0.0038936082,200704,2.8073368,0.8664474934339523,443.6785886287689
202752,1071.74,23.468699,434,0.0067444853,0.08203125,627.24154084,99,-0.0040679644,202752,2.8142383,0.863459050655365,448.57644510269165
204800,1033.31,15.01756,444,0.0050129443,0.05810547,602.7539312600001,100,-0.0025577305,204800,2.8347669,0.9341346025466919,453.28535413742065
206848,989.95,16.93816,429,0.0033796523,0.038085938,575.2575267000002,101,-0.006420549,206848,2.8318117,0.8886229917407036,457.89557790756226
208896,1007.89,12.640406,466,0.0029752504,0.03334961,587.21223662,102,-0.0012970472,208896,2.8363893,0.8586859852075577,462.66129302978516
210944,1010.05,19.213476,452,0.0047732466,0.055664062,590.2750068,103,-0.004559081,210944,2.844696,0.898498184978962,467.0557713508606
212992,987.22,22.936956,421,0.0031629242,0.0359375,579.95686603,104,-0.002155318,212992,2.844483,0.8829770609736443,471.58157205581665
215040,923.45,24.91362,456,0.0042728917,0.05,536.57068616,105,-0.0040894663,215040,2.8528154,0.17971569299697876,476.4375829696655
217088,872.72,18.230165,469,0.0031137818,0.035009764,504.59082039000003,106,-0.0041795955,217088,2.8708365,0.836472824215889,480.92114305496216
219136,835.1,12.974751,458,0.0021451795,0.019970704,479.79815783000004,107,-0.002632279,219136,2.8757503,0.9168596416711807,485.28200006484985
221184,810.21,11.093257,477,0.0032478708,0.035253905,460.27750435,108,-0.005007125,221184,2.8809972,0.8960289061069489,489.7511422634125
223232,813.84,22.5101,452,0.0055064256,0.067919925,462.48169412000004,109,-0.004377966,223232,2.893714,0.8552447110414505,494.0444338321686
225280,796.12,10.509541,442,0.003938989,0.04511719,450.92457499000005,110,-0.0025528683,225280,2.9059806,0.9163910895586014,498.5727927684784
227328,801.0,12.861048,458,0.0068193777,0.06503906,457.08989675000004,111,-0.003119203,227328,2.912031,0.9289865642786026,503.2042863368988
229376,819.02,14.242645,487,0.004231441,0.049121093,468.88995994000004,112,-0.0023846608,229376,2.9107966,0.8044901788234711,507.6684195995331
231424,790.79,25.543972,460,0.0038627137,0.044677734,451.9102944600001,113,-0.0035186124,231424,2.917624,0.8687172085046768,511.86711955070496
233472,789.95,4.344747,439,0.0035574615,0.034960937,451.64051134,114,-0.0023182062,233472,2.9240634,0.947025902569294,516.3184952735901
235520,754.42,22.172659,458,0.0039796466,0.04448242,425.6616609000001,115,-0.0045918454,235520,2.9136815,0.8505369424819946,520.9799997806549
237568,754.42,13.242952,467,0.0048443414,0.05883789,424.16920550000003,116,-0.0018936141,237568,2.9252563,0.7921512275934219,525.4445238113403
239616,763.69,10.350779,469,0.0035121564,0.038476564,429.72821381,117,-0.006874246,239616,2.9282918,0.9055259302258492,529.8213982582092
241664,763.69,11.324289,483,0.0039264886,0.043847658,430.99918535999996,118,-0.0027546687,241664,2.9203737,0.845387190580368,534.1800255775452
243712,741.32,14.542567,432,0.005634986,0.057958983,416.47720009999995,119,-0.0049347407,243712,2.9218936,0.9268360361456871,538.4180791378021
245760,737.68,8.431994,459,0.0038098968,0.04321289,414.09100365,120,-0.004268357,245760,2.9395971,0.8960350379347801,543.1585094928741
247808,755.68,16.49139,476,0.0040000556,0.04506836,427.0444030899999,121,-0.0052925614,247808,2.940321,0.8269893974065781,547.6137175559998
249856,755.68,12.244752,439,0.008014471,0.09116211,424.9039132199999,122,-0.0019287427,249856,2.9630644,0.7581378519535065,551.9146046638489
251904,755.68,12.176823,426,0.0060705715,0.070458986,424.55731020999997,123,-0.0032234169,251904,2.9737344,0.7582342177629471,556.579909324646
253952,766.6,10.60262,429,0.0034811075,0.035498045,431.3763634200001,124,-0.0031858,253952,2.9720483,0.8179340064525604,561.3795094490051
256000,779.96,15.836412,464,0.003948855,0.04711914,440.6959386400001,125,-0.003064177,256000,2.9758122,0.8244747072458267,566.1507942676544
258048,777.86,9.907614,451,0.005656678,0.06616211,439.29769848,126,-0.008982254,258048,2.9771326,0.8245249688625336,570.5599474906921
260096,777.86,9.296819,443,0.0053620012,0.06533203,437.3200754400001,127,-0.0027101687,260096,2.9676788,0.8233574032783508,575.09557056427
262144,795.99,12.002078,438,0.0037002873,0.04082031,448.9122299300001,128,-0.00059493585,262144,2.958674,0.8588729351758957,579.7107813358307
264192,814.27,18.358433,458,0.0036625732,0.04121094,462.17027163,129,-0.00500357,264192,2.956444,0.8794027045369148,584.3817212581635
266240,812.27,23.21294,419,0.0041229464,0.0453125,462.50522584,130,-0.0037107419,266240,2.9616714,0.8537668138742447,588.8452906608582
268288,812.45,7.012225,446,0.0032363143,0.034472656,462.75913856000005,131,-0.0029448993,268288,2.9644182,0.9140282198786736,593.7320845127106
270336,812.77,13.0298,422,0.005093566,0.057421874,462.29103116,132,-0.0049474714,270336,2.9667826,0.88129872828722,598.3220572471619
272384,826.02,6.184636,465,0.005060959,0.06123047,471.32750567000005,133,-0.0065568076,272384,2.972693,0.89543816447258,603.1647222042084
274432,852.53,17.92118,479,0.0022631497,0.021435548,488.49837057,134,-0.004727898,274432,2.9684052,0.7869395315647125,607.5676069259644
276480,870.13,13.305263,432,0.003078063,0.03310547,499.58371914,135,-0.004747114,276480,2.967345,0.8525831401348114,611.8404910564423
278528,855.71,10.359869,433,0.005990836,0.058789063,490.89241273000005,136,-0.005451,278528,2.9822145,0.9177830666303635,616.581182718277
280576,873.62,14.015346,455,0.0029795691,0.03276367,504.4659259300001,137,0.00011132313,280576,2.995544,0.8044749647378922,621.3117294311523
282624,879.75,12.821627,455,0.0027822356,0.029101562,507.51464252,138,-0.002004326,282624,2.9889464,0.8313247412443161,625.8047499656677
