policy_entropy,n_updates,value_loss,serial_timesteps,total_timesteps,ep_len_mean,fps,clipfrac,ep_reward_mean,explained_variance,time_elapsed,approxkl,policy_loss
4.568424,96,1.4399761,196608,196608,1433.6,197,0.083740234,1110.0490195200002,0.8636800646781921,1296.2931747436523,0.006850125,-0.0064670555
4.5700192,97,13.486193,198656,198656,1442.52,122,0.0328125,1112.8001328,0.8762195333838463,1306.6601202487946,0.003198402,-0.0025806702
4.5852423,98,6.125146,200704,200704,1437.51,157,0.03178711,1112.4675781199999,0.950066614896059,1323.4026701450348,0.0031591177,-0.00043031253
4.594751,99,5.7785387,202752,202752,1439.19,147,0.042041015,1113.1710292899998,0.9521824680268764,1336.372308254242,0.004190287,-0.004332382
4.590316,100,11.337002,204800,204800,1444.03,104,0.02709961,1117.3230253899999,0.8920950964093208,1350.269493818283,0.002677545,-0.0011434153
4.58466,101,9.452209,206848,206848,1449.14,139,0.058154296,1122.7381503899999,0.9017974808812141,1369.9494156837463,0.005069258,-0.004043119
4.5889144,102,15.893015,208896,208896,1465.15,104,0.068554685,1139.5289999999998,0.851720467209816,1384.6169409751892,0.0063880025,-0.0030140253
4.5921373,103,9.202925,210944,210944,1464.65,152,0.026513672,1140.1847226500001,0.935326486825943,1404.2509372234344,0.0026939344,-0.0019435115
4.606473,104,8.725684,212992,212992,1458.33,108,0.04121094,1139.64236328,0.936851978302002,1417.676483631134,0.0047760466,-0.00859529
4.6250944,105,10.640774,215040,215040,1437.66,137,0.053613283,1124.8107382900002,0.9444442801177502,1436.5869970321655,0.0049450807,-0.008018174
4.64444,106,8.121917,217088,217088,1448.23,107,0.026464844,1135.23489258,0.9505899026989937,1451.4886229038239,0.0029041686,-0.0064911507
4.653465,107,7.841288,219136,219136,1438.71,135,0.023242187,1127.99703516,0.939088087528944,1470.5217175483704,0.0021582276,-0.0022673253
4.648355,108,8.858742,221184,221184,1433.78,109,0.05732422,1123.5029433599998,0.9268996641039848,1485.6776158809662,0.0053501697,-0.0034974266
4.628531,109,2.6323965,223232,223232,1433.6,181,0.05644531,1123.0526581999998,0.9549474939703941,1504.4216706752777,0.0055106557,-0.0075112707
4.606218,110,2.7150888,225280,225280,1433.6,175,0.04736328,1123.3377460899999,0.9618740230798721,1515.7116088867188,0.004548165,-0.0053447178
4.600729,111,47.80273,227328,227328,1351.42,61,0.042089842,1042.56337499,0.6879239678382874,1527.4124236106873,0.0037870475,-0.007114178
4.598866,112,0.88059455,229376,229376,1331.2,198,0.049951173,1023.9476620999999,0.9845306230708957,1560.9237945079803,0.00455538,-0.0048977872
4.6030555,113,12.688934,231424,231424,1296.04,83,0.04169922,1000.63806836,0.9438804350793362,1571.241721868515,0.005857107,-0.0032116142
4.598909,114,2.393204,233472,233472,1307.41,173,0.06552734,1011.77572071,0.9560712724924088,1595.8197903633118,0.005792347,-0.0077147773
4.582368,115,21.743237,235520,235520,1280.95,87,0.025390625,1000.7990624999999,0.911693349480629,1607.6371395587921,0.0029154862,-0.0057501057
4.5947595,116,9.550919,237568,237568,1234.87,98,0.027246093,955.5987128800001,0.9574226140975952,1631.004212141037,0.002762211,-0.0039297463
4.6123204,117,6.249842,239616,239616,1211.24,113,0.04799805,931.8175312400001,0.95622119307518,1651.7698993682861,0.0044624447,-0.0075195
