total_timesteps,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps,ep_reward_mean,ep_len_mean,time_elapsed,explained_variance,clipfrac,fps,value_loss
219136,2.661082,-0.0033329246,0.003516166,107,219136,761.7804682499998,1171.19,449.987544298172,0.7964774370193481,0.040625,509,21.497284
221184,2.6590564,-0.0011709377,0.004845998,108,221184,769.28752218,1181.18,454.011269569397,0.7054535448551178,0.057275392,498,13.770533
223232,2.6568189,-0.002701258,0.0045877704,109,223232,776.5397823799999,1191.98,458.1185507774353,0.8092446625232697,0.05239258,497,9.3629675
225280,2.6605077,-0.0029938347,0.0032094973,110,225280,763.6584417799999,1174.16,462.23263025283813,0.8893352523446083,0.03642578,479,8.228363
227328,2.6555028,-0.0013227777,0.0028141146,111,227328,762.77540677,1174.16,466.50081181526184,0.8357161581516266,0.028466797,497,8.989304
229376,2.6422458,-0.0049889153,0.0055547385,112,229376,762.0857254200001,1173.76,470.62186002731323,0.8251220136880875,0.0546875,491,17.669765
231424,2.634674,-0.0047243154,0.0052925693,113,231424,743.6691637299998,1149.35,474.78841042518616,0.8142897486686707,0.06074219,487,19.216589
233472,2.6473765,-0.006217572,0.0043196594,114,233472,725.6079453299999,1126.55,478.9938623905182,0.858411118388176,0.050634764,481,19.187115
235520,2.6568267,-0.004780684,0.0036889655,115,235520,700.1014547899999,1091.72,483.2459969520569,0.8920368254184723,0.043701172,488,15.100634
237568,2.6675715,-0.005072638,0.004703286,116,237568,698.71841566,1090.47,487.4351406097412,0.7944115102291107,0.05288086,488,18.768507
239616,2.6731863,-0.0026466805,0.0045092795,117,239616,708.3741819400001,1103.6,491.6298429965973,0.7244397699832916,0.048193358,494,15.3563595
241664,2.6768894,-0.004024711,0.0028859542,118,241664,700.48071765,1093.72,495.7705626487732,0.9170236065983772,0.030126953,487,5.275156
243712,2.688283,-0.0040331595,0.0061682435,119,243712,700.3609517499999,1093.72,499.97160267829895,0.8812181577086449,0.074072264,481,9.243132
245760,2.6936252,-0.0056253425,0.0066063567,120,245760,708.00466533,1103.57,504.2269835472107,0.7829157114028931,0.07495117,474,10.86789
