serial_timesteps,total_timesteps,time_elapsed,fps,value_loss,policy_entropy,policy_loss,clipfrac,n_updates,ep_reward_mean,explained_variance,approxkl,ep_len_mean
122880,122880,287.43689250946045,352,24.319422,2.8184721,-0.0060206195,0.056689452,60,582.7077674899999,0.7568203955888748,0.0049874326,986.35
124928,124928,293.2406816482544,411,11.090427,2.8179915,-0.002785418,0.050341796,61,593.9045274199999,0.8637842088937759,0.0044144145,1003.16
126976,126976,298.21429204940796,466,8.678821,2.8169231,-0.00076790014,0.075488284,62,593.6469020000001,0.8375630229711533,0.00616381,1003.16
129024,129024,302.60331892967224,439,11.024764,2.8250616,-0.003595071,0.076220706,63,604.26997926,0.8136338293552399,0.0065339496,1020.48
131072,131072,307.2637279033661,286,44.72985,2.8273065,-0.003960385,0.02890625,64,571.5482138399999,0.5081592798233032,0.0028465206,968.66
133120,133120,314.4057846069336,370,15.377886,2.8317304,-0.0031673436,0.03515625,65,581.06669868,0.7420698702335358,0.0032842197,983.21
135168,135168,319.93363428115845,379,18.212757,2.8213072,-0.00080056477,0.046875,66,571.8284754199999,0.8577129691839218,0.0041388026,969.53
137216,137216,325.32725715637207,447,13.686603,2.810452,-0.006153413,0.07558594,67,568.2563644400001,0.8418980538845062,0.0062075346,965.73
139264,139264,329.8999230861664,462,4.2451186,2.8175352,-0.0031710137,0.08759765,68,556.96292109,0.9174592420458794,0.007964905,950.59
141312,141312,334.32535195350647,433,29.99764,2.8249497,-0.0036624162,0.03730469,69,538.1341979200001,0.7807124108076096,0.0034464486,921.03
143360,143360,339.0464434623718,450,9.1406975,2.8295963,-0.00567172,0.07905273,70,541.4573400200001,0.8016628921031952,0.005885693,925.1
145408,145408,343.59304428100586,469,16.312641,2.8168972,-0.003159952,0.03959961,71,530.09725907,0.8525696098804474,0.003981462,903.03
147456,147456,347.95416593551636,438,13.337603,2.8158476,-0.0061355955,0.07841797,72,517.4327020799999,0.8271087855100632,0.006206813,883.01
149504,149504,352.6234219074249,434,8.185463,2.8232381,-0.0033041332,0.0847168,73,521.17793413,0.8474626988172531,0.0071347775,887.86
151552,151552,357.33261156082153,356,23.152697,2.8162374,-0.003986937,0.06679688,74,506.2155051600001,0.8263661563396454,0.0054460755,866.58
153600,153600,363.07285261154175,405,15.172053,2.8243303,-0.004137041,0.04057617,75,513.18200834,0.8426959961652756,0.0034725007,878.39
155648,155648,368.1274220943451,464,8.129182,2.8455756,-0.0018740084,0.046777345,76,514.8359955400001,0.8350083231925964,0.004165081,880.85
157696,157696,372.5373957157135,424,14.95611,2.8645272,-0.0016690394,0.055566408,77,524.95763054,0.8533433228731155,0.0044986317,894.5
159744,159744,377.3571960926056,435,8.684337,2.8694136,-0.002592735,0.07397461,78,518.6605174399999,0.7751727551221848,0.0063662617,887.43
161792,161792,382.05626368522644,473,24.278278,2.8762288,-0.00694749,0.053125,79,484.3313213999999,0.8209720700979233,0.005949614,830.24
163840,163840,386.37765884399414,469,13.2613735,2.8701875,-0.0048280573,0.051367186,80,485.41192536999995,0.7644706666469574,0.004336059,830.24
165888,165888,390.739138841629,446,21.71997,2.8614721,-0.003676481,0.04111328,81,481.9681941899999,0.7393340468406677,0.003665001,826.19
167936,167936,395.3287127017975,438,8.919351,2.8562474,-0.0016739598,0.07421875,82,488.53560734999996,0.773140162229538,0.0067477226,836.36
169984,169984,400.0003170967102,436,10.870436,2.858633,-0.0018284402,0.07919922,83,496.03991449,0.8348100781440735,0.0070454786,847.18
172032,172032,404.6961660385132,509,12.605288,2.866194,-0.0037252828,0.05341797,84,507.76155882,0.7926444560289383,0.004690088,867.31
174080,174080,408.71458888053894,431,20.848522,2.8705401,-0.0031293747,0.040478516,85,487.5284437600001,0.8436638563871384,0.003973447,836.81
176128,176128,413.4571843147278,441,18.124012,2.8791933,-0.003470414,0.061865233,86,486.89740968,0.8080118745565414,0.005862648,825.59
178176,178176,418.0965313911438,461,10.361292,2.8718534,-0.0026293325,0.0652832,87,496.82374889,0.8054218739271164,0.0057836017,838.62
180224,180224,422.53277707099915,434,13.917765,2.8633723,-0.0032103728,0.039697267,88,478.82326767,0.8561073541641235,0.003697386,810.08
182272,182272,427.2512309551239,431,34.599117,2.8754382,-0.0061260546,0.054492187,89,452.8655854599999,0.4640601873397827,0.0046405285,773.08
184320,184320,432.0007846355438,396,36.707775,2.8940237,-0.0019584652,0.025585938,90,415.05914948000003,0.5788076519966125,0.002691624,718.53
186368,186368,437.1702673435211,430,6.6136575,2.9103775,-0.00647067,0.044287108,91,411.9761895700001,0.9414012618362904,0.0043915343,713.65
188416,188416,441.9309241771698,443,20.043097,2.9194515,-0.002752209,0.06621094,92,422.56410686,0.8352194279432297,0.0063028797,734.06
190464,190464,446.5483832359314,424,19.756657,2.9372742,-0.0101789,0.061181642,93,414.59141667999995,0.8528253436088562,0.005360914,718.64
192512,192512,451.3725380897522,456,19.935541,2.9606733,-0.0029035278,0.04350586,94,403.9939780899999,0.8604984730482101,0.0036911827,698.78
194560,194560,455.8563847541809,415,18.967403,2.97088,-0.010181785,0.05961914,95,401.3454692300001,0.8578110188245773,0.0046437057,696.43
196608,196608,460.78288865089417,464,17.39672,2.9811752,-0.0036747847,0.033203125,96,381.98424219000003,0.8553138077259064,0.0032551368,666.06
198656,198656,465.1931383609772,475,25.326984,2.9869819,-0.006972519,0.043408204,97,388.0718817200001,0.7206007540225983,0.0036354153,678.46
200704,200704,469.4994990825653,461,16.538095,2.9767675,-0.0033487552,0.02709961,98,377.4563756100001,0.8496930450201035,0.002802251,661.49
202752,202752,473.93721628189087,498,20.311193,2.9643433,-0.0029834134,0.05307617,99,372.94152557000007,0.8762425482273102,0.0045983833,654.97
204800,204800,478.0488302707672,488,19.026196,2.9684715,-0.0051928344,0.06040039,100,363.68680969,0.8663035333156586,0.0058005173,637.97
206848,206848,482.24364256858826,448,20.177696,2.972379,-0.005005158,0.042089842,101,355.78913373999995,0.8086901158094406,0.00405674,628.63
