serial_timesteps,value_loss,ep_reward_mean,policy_loss,approxkl,ep_len_mean,total_timesteps,n_updates,time_elapsed,clipfrac,policy_entropy,fps,explained_variance
208896,6.084037,562.41052014,-0.0032094822,0.0040682787,1643.62,208896,102,348.55538034439087,0.044140626,1.4952543,594,0.5672312378883362
210944,7.6869698,566.2904821899999,-0.001264186,0.0027442423,1646.5,210944,103,351.9997823238373,0.027832031,1.4948884,588,0.5632983446121216
212992,7.471114,573.8949492300001,-0.0039486336,0.004967518,1655.03,212992,104,355.47994089126587,0.058300782,1.4962016,585,0.5862663090229034
215040,3.7714283,575.01469451,-0.004307381,0.005850333,1654.68,215040,105,358.9772298336029,0.072460935,1.5039916,609,0.6863389909267426
217088,8.048373,582.7811666599999,-0.0024981392,0.004633922,1662.17,217088,106,362.33901739120483,0.053222656,1.5058227,577,0.5251908004283905
219136,3.0201325,586.20756828,-0.0016991694,0.003569813,1664.49,219136,107,365.88642740249634,0.042285156,1.510249,587,0.6853651404380798
221184,6.854762,596.24411933,-0.0036957604,0.003909735,1677.33,221184,108,369.37454056739807,0.046679687,1.5135287,587,0.46134912967681885
223232,2.950199,596.18060713,-0.0021114645,0.0044169137,1667.29,223232,109,372.86102747917175,0.05307617,1.5173787,595,0.6954970359802246
225280,4.041102,601.20237273,-0.0010609163,0.0039270995,1667.29,225280,110,376.30321884155273,0.04448242,1.5255033,606,0.5981295108795166
227328,4.5040016,606.07955024,-0.000706517,0.00464625,1667.29,227328,111,379.68003726005554,0.05332031,1.5296203,611,0.5660212635993958
229376,4.5750184,610.8589794200001,-0.0014844432,0.004350671,1667.29,229376,112,383.03009724617004,0.04863281,1.526845,601,0.579168289899826
231424,5.034647,615.68633406,-0.001931319,0.0032916747,1667.29,231424,113,386.4338014125824,0.034375,1.5192883,602,0.5423512756824493
233472,4.6984315,621.17897275,-0.0035622925,0.0046126824,1667.29,233472,114,389.8348801136017,0.057519533,1.5217328,614,0.5356525778770447
235520,4.6685677,626.55660972,-0.00046358182,0.0034281071,1667.29,235520,115,393.17003440856934,0.035009764,1.5193673,576,0.5671663582324982
237568,5.12406,632.24351523,-0.0016694894,0.003661488,1667.29,237568,116,396.7224488258362,0.04111328,1.5113232,571,0.5346871912479401
239616,4.8688645,637.44151801,-0.0022537492,0.004085944,1667.29,239616,117,400.30559182167053,0.048876952,1.5133027,591,0.4354879856109619
241664,5.1681724,642.5171393799999,-0.0021077513,0.00685292,1667.29,241664,118,403.77085161209106,0.087939456,1.5165721,609,0.4690229892730713
243712,4.85879,647.75896098,-0.0015080873,0.004165684,1667.29,243712,119,407.1331570148468,0.04633789,1.51664,610,0.5209059715270996
245760,5.333649,652.78915601,-0.0021467085,0.004230979,1667.29,245760,120,410.49092292785645,0.048535157,1.5088964,604,0.5095416903495789
247808,8.776519,655.88282108,0.0001882195,0.0042021777,1651.91,247808,121,413.8785672187805,0.04975586,1.5070195,593,0.4714549779891968
249856,4.806718,661.4019659600001,-0.0011616934,0.00513935,1651.91,249856,122,417.327600479126,0.061767578,1.5098376,603,0.5701183974742889
251904,3.8378532,663.79696801,-0.00083515013,0.0038301717,1645.35,251904,123,420.7222263813019,0.043359376,1.5104597,616,0.666589230298996
253952,5.125079,669.6881439299999,-0.0007264673,0.004525025,1645.35,253952,124,424.04344630241394,0.055566408,1.5209025,588,0.5878545343875885
256000,8.189013,674.1381780099999,-0.0045673316,0.003640189,1633.53,256000,125,427.52163553237915,0.040722657,1.5238441,582,0.6063965260982513
258048,12.19,669.6773818000001,-0.0048439484,0.0032069455,1597.92,258048,126,431.0400388240814,0.0359375,1.5256943,606,0.4723089337348938
260096,4.9559717,674.0826258100001,-0.0019326635,0.004099627,1597.92,260096,127,434.4171724319458,0.04511719,1.5202785,612,0.5771726369857788
262144,3.26901,673.6667700200001,-0.0023202992,0.0029824055,1587.99,262144,128,437.7610023021698,0.031982422,1.5173154,600,0.7582821547985077
264192,8.26206,675.94854382,-0.0057876417,0.006371569,1575.05,264192,129,441.1704876422882,0.075683594,1.5180765,612,0.6204354763031006
266240,10.197038,672.5516351200001,-0.0021810145,0.0057275007,1550.82,266240,130,444.5143744945526,0.062158205,1.5136422,609,0.4602031707763672
268288,16.726902,661.51648492,-0.0017356001,0.0035371357,1497.8,268288,131,447.87614130973816,0.040527344,1.5237492,602,0.4636031985282898
270336,10.40935,651.4172608800001,-0.002432519,0.0035970435,1454.32,270336,132,451.2758107185364,0.04121094,1.5280945,613,0.6480836570262909
272384,12.515277,641.64450652,-0.0015162088,0.002765719,1411.86,272384,133,454.61602306365967,0.028955078,1.5263486,585,0.566992849111557
274432,11.703627,634.0275544599999,-0.0034346513,0.0048122234,1375.42,274432,134,458.11324071884155,0.06020508,1.5317771,587,0.6148509383201599
276480,8.535265,620.68042014,-0.0020293526,0.00432811,1332.3,276480,135,461.60091280937195,0.050732423,1.5436345,603,0.7463473379611969
278528,10.61264,605.8483334,0.0012834355,0.0031220256,1289.71,278528,136,464.99409770965576,0.034472656,1.5568551,595,0.7008907198905945
280576,11.959118,584.2789312699999,0.00038589715,0.003112565,1232.6,280576,137,468.43430495262146,0.034814455,1.561005,612,0.7140063941478729
282624,6.9255395,573.6675640999998,-0.0011159647,0.0045018503,1206.92,282624,138,471.77576637268066,0.050488282,1.5615896,602,0.7237247228622437
