explained_variance,n_updates,fps,policy_loss,serial_timesteps,total_timesteps,policy_entropy,value_loss,approxkl,time_elapsed,ep_reward_mean,clipfrac,ep_len_mean
-0.06916701793670654,53,141,-0.0006951911,108544,108544,2.3566976,4.8945127,0.0068062604,395.4764096736908,745.3603168888889,0.08911133,1698.6984126984128
0.7012223899364471,54,300,-0.0043005855,110592,110592,2.3783765,12.34049,0.004184481,409.9945890903473,724.0163965606062,0.047802735,1674.909090909091
0.20493322610855103,55,494,-0.0024494654,112640,112640,2.3815837,20.170218,0.0030973454,416.8134639263153,690.9148434428571,0.029443359,1602.557142857143
0.7341379821300507,56,474,-0.0031427655,114688,114688,2.3837216,14.131838,0.0025961339,420.9570071697235,671.6617383287671,0.026904296,1560.4931506849316
0.6911174058914185,57,147,-0.0027942555,116736,116736,2.4051206,8.343642,0.004966813,425.27501821517944,667.5166484864865,0.05805664,1551.6756756756756
0.5502996146678925,58,262,-0.0029161957,118784,118784,2.4235635,19.455948,0.0026812651,439.18967938423157,636.9105283037975,0.029882813,1500.5189873417721
0.7362170517444611,59,219,-0.003769522,120832,120832,2.4146075,12.2866955,0.0033223748,446.9781105518341,620.0643619024389,0.033740234,1470.8292682926829
0.8961509168148041,60,443,-0.004109444,122880,122880,2.4071975,4.3972664,0.0043083234,456.29267406463623,614.7022752289155,0.051416017,1459.4819277108434
0.6139013767242432,61,430,-0.0023888675,124928,124928,2.4110847,12.864471,0.0038702164,460.9138946533203,614.7923233294116,0.03959961,1449.7411764705882
0.7307621240615845,62,441,-0.002901956,126976,126976,2.4068904,19.59221,0.002488024,465.6678342819214,612.73464625,0.023779297,1436.6136363636363
0.8308035433292389,63,429,-0.004399625,129024,129024,2.4057903,6.952899,0.008675704,470.3123633861542,619.6459189438201,0.09736328,1443.4943820224719
0.6871511936187744,64,472,-0.002433118,131072,131072,2.417666,22.6257,0.0021117316,475.0829367637634,600.556581172043,0.020068359,1399.0430107526881
0.6284953653812408,65,447,-0.0035839467,133120,133120,2.4158819,8.019824,0.0050373906,479.41465520858765,607.318852893617,0.059033204,1405.9574468085107
0.9484100453555584,66,225,-0.004979143,135168,135168,2.4168363,8.861952,0.0066339523,483.98691606521606,613.9454272842105,0.08691406,1412.7263157894736
0.889368325471878,67,437,-0.00058396393,137216,137216,2.426023,6.9571295,0.0023554768,493.0823495388031,605.1712751340206,0.022607422,1399.3092783505156
0.7284309267997742,68,445,-0.0020985685,139264,139264,2.419012,13.05572,0.0021882462,497.7684392929077,606.6090118888887,0.020947266,1395.1313131313132
0.8243673294782639,69,150,-0.0050045275,141312,141312,2.407812,9.775163,0.010105356,502.36501455307007,608.3308421199998,0.13115235,1394.55
0.9596017226576805,70,373,-0.008154636,143360,143360,2.384154,2.4943814,0.0060693403,515.9908525943756,604.81516977,0.07866211,1398.93
0.6116388440132141,71,453,-0.0037206418,145408,145408,2.3777862,8.919304,0.006144918,521.473108291626,605.76229859,0.0769043,1398.93
0.6274549663066864,72,467,-0.004467168,147456,147456,2.3744435,22.887472,0.0049630916,525.9937436580658,588.30259812,0.059423827,1347.35
0.7672501653432846,73,454,9.576295e-06,149504,149504,2.3675466,8.973073,0.0027449054,530.3758890628815,590.1557579099999,0.028076172,1347.35
0.7395712733268738,74,452,-0.0015718814,151552,151552,2.3650806,7.327811,0.003853555,534.8838112354279,589.1828546,0.042773437,1347.35
0.3970087766647339,75,468,-0.0040630526,153600,153600,2.3696618,25.796839,0.0031176,539.4071125984192,547.69828199,0.035205077,1253.64
0.7308647334575653,76,300,-0.011375417,155648,155648,2.3789346,15.035452,0.006320848,543.7772681713104,528.1367485400001,0.06977539,1228.99
0.5807558298110962,77,297,-0.0072824596,157696,157696,2.3944137,19.529888,0.00523348,550.5868122577667,485.55394077,0.058935545,1128.18
0.838967427611351,78,471,-0.006821531,159744,159744,2.4037268,12.882808,0.0039550345,557.4723129272461,462.31901962999996,0.046240233,1075.21
0.5562240481376648,79,472,-0.0023158775,161792,161792,2.397575,9.628117,0.0037851427,561.8154425621033,461.92753989,0.03881836,1075.21
0.8368503302335739,80,452,-0.0024129967,163840,163840,2.3935518,9.615908,0.0036704864,566.1523394584656,459.99918126999995,0.040234376,1070.44
0.8074516803026199,81,408,-0.0022172858,165888,165888,2.3895195,18.995113,0.0016832992,570.6745653152466,443.6107935,0.014111328,1016.18
0.7550413608551025,82,463,-0.0072721997,167936,167936,2.3828259,9.658134,0.007440088,575.6900410652161,439.62512586,0.07792969,993.95
0.7319773733615875,83,178,-0.0025860749,169984,169984,2.388979,13.974037,0.006901212,580.1109364032745,447.35885804000014,0.083496094,977.77
0.7884891480207443,84,219,-0.0075634895,172032,172032,2.3989627,13.620844,0.00547151,591.5914142131805,437.7382518600001,0.068798825,969.77
0.6253309845924377,85,210,-0.0028427027,174080,174080,2.4098203,13.906385,0.0033534341,600.9225523471832,424.80097966,0.03569336,945.18
0.17530834674835205,86,139,-0.006027909,176128,176128,2.439124,3.5253806,0.008004544,610.6719598770142,415.6918178099999,0.10600586,945.18
0.760013148188591,87,158,-0.0068833926,178176,178176,2.4543505,3.3481483,0.0068548345,625.3462524414062,412.2793327999999,0.09233399,949.5
0.7441305220127106,88,436,-0.0032727718,180224,180224,2.4534278,15.573111,0.0034343253,638.2762327194214,402.97049301,0.041650392,918.69
0.8199353814125061,89,462,-0.003299015,182272,182272,2.4561014,10.484293,0.002925248,642.9685761928558,390.61161661000006,0.0296875,898.21
0.7894934117794037,90,480,-0.0007506687,184320,184320,2.45861,9.588692,0.0014666888,647.4019434452057,391.99233971000007,0.00913086,898.21
0.5641380548477173,91,466,-0.00233603,186368,186368,2.456586,7.735228,0.0036025294,651.6692516803741,399.11618394000004,0.039404295,905.66
0.8589981347322464,92,470,-0.0017613887,188416,188416,2.4542518,8.71723,0.003786486,656.0631039142609,405.98519935,0.039111327,913.57
0.8928746804594994,93,215,-0.004163091,190464,190464,2.4628491,13.141306,0.0041396045,660.4194490909576,406.8454998200001,0.049853515,918.67
0.7304508090019226,94,231,-0.004323532,192512,192512,2.4880154,16.638432,0.0058779824,669.9034612178802,371.8421054000001,0.075732425,874.71
0.7639753669500351,95,454,-0.002245323,194560,194560,2.5051436,13.564789,0.0015809508,678.7576568126678,369.56951686,0.013916016,843.06
0.864559069275856,96,492,-0.0022106778,196608,196608,2.5108547,8.135243,0.0059620626,683.2633156776428,379.54715245,0.07055664,855.02
0.8617797791957855,97,498,-0.0038779215,198656,198656,2.5176756,11.13401,0.0034936704,687.4228887557983,390.60488216,0.038427733,872.15
0.8216286897659302,98,467,-0.0014179281,200704,200704,2.517127,6.4176683,0.002867939,691.5293345451355,393.12772355999994,0.031103516,876.9
0.6624850630760193,99,437,-0.0023444712,202752,202752,2.516871,23.954544,0.0021430724,695.9150774478912,405.77620171999996,0.019433593,889.32
0.6953478455543518,100,439,-0.0021833456,204800,204800,2.5206892,19.1493,0.004020917,700.5965321063995,404.51157471,0.043408204,870.96
0.9131002277135849,101,496,-0.0066382876,206848,206848,2.536145,8.723314,0.005171553,705.2625563144684,410.6964313299999,0.054833986,880.26
0.8777016848325729,102,505,-0.0045802286,208896,208896,2.5379145,6.143363,0.0027343552,709.386088848114,414.59308286,0.027734375,882.92
0.9165020659565926,103,256,-0.0035286874,210944,210944,2.5243893,14.792788,0.0038727534,713.4359791278839,423.98809950000003,0.038476564,895.45
0.9058466702699661,104,197,-0.005828426,212992,212992,2.514078,7.7961416,0.0070076264,721.4313769340515,415.5242023799999,0.092041016,895.63
0.8163127303123474,105,477,-0.004190541,215040,215040,2.512901,10.798224,0.005235886,731.797031879425,429.09808383999996,0.062451173,915.7
0.8698575645685196,106,478,-0.0026759652,217088,217088,2.5132372,7.133344,0.0056725633,736.0901324748993,429.2030764,0.06850586,915.7
0.782582089304924,107,465,-0.003304096,219136,219136,2.5140631,7.470913,0.0041373004,740.3692092895508,440.39130198999993,0.04526367,931.71
0.4593542218208313,108,156,-0.0054783286,221184,221184,2.5432427,9.899475,0.008004553,744.7671988010406,426.88281132,0.0925293,908.66
0.9719748683273792,109,400,-0.00530038,223232,223232,2.5570645,2.5280213,0.005273058,757.8402037620544,427.62257137999984,0.06547852,923.28
0.7464821934700012,110,309,-0.0028048912,225280,225280,2.5558982,21.80058,0.0032656782,762.9515266418457,442.24139084999996,0.035742186,946.89
0.9395387321710587,111,189,-0.008540368,227328,227328,2.565335,4.305232,0.008277036,769.5594806671143,433.1864787899999,0.115185544,946.89
0.8656638562679291,112,446,-0.0016122551,229376,229376,2.5693462,7.9980516,0.003052192,780.3667862415314,433.4844655499999,0.031591795,946.89
0.6499144732952118,113,191,-0.007145787,231424,231424,2.5816607,17.086443,0.0047711795,784.9513607025146,421.11505798999997,0.054589845,920.13
0.9051340147852898,114,227,-0.004957037,233472,233472,2.602821,6.739583,0.0038055324,795.6671307086945,415.41186955999996,0.042578124,911.92
0.765132337808609,115,247,-0.003456702,235520,235520,2.6172342,15.077807,0.0020011985,804.6662135124207,398.49283927,0.018408203,890.86
0.7681844979524612,116,201,-0.0031370625,237568,237568,2.6229086,9.507837,0.0037716501,812.9443979263306,398.27960895,0.041748047,902.19
0.8126775920391083,117,459,-0.0063228398,239616,239616,2.6149013,8.357809,0.0031257006,823.1053473949432,377.11085944000007,0.03276367,869.24
0.6307772099971771,118,442,-0.005757306,241664,241664,2.618162,20.20782,0.00257122,827.565310716629,386.27498214,0.028271485,891.73
0.8958964347839355,119,426,-0.0046011535,243712,243712,2.6284842,4.6548142,0.004165375,832.1967542171478,385.49482618999997,0.04951172,888.65
0.8336162567138672,120,338,-0.0034642885,245760,245760,2.627907,9.645825,0.005795386,837.0018081665039,397.24557003,0.07143555,905.79
