policy_loss,serial_timesteps,policy_entropy,fps,time_elapsed,value_loss,clipfrac,ep_reward_mean,ep_len_mean,explained_variance,approxkl,n_updates,total_timesteps
-0.0034730465,552960,4.2253294,513,1098.36337018013,9.270455,0.02861328,765.5804282099999,1148.87,0.7126611471176147,0.003042393,270,552960
-0.003566192,555008,4.228977,516,1102.3535022735596,25.841528,0.04345703,763.6911809599999,1148.47,0.6336765587329865,0.0038601062,271,555008
-0.0049789404,557056,4.2349997,522,1106.3193616867065,10.184168,0.038330078,774.7083869600001,1163.67,0.8525470495223999,0.0036374729,272,557056
-0.004454748,559104,4.2305784,521,1110.237330198288,16.151962,0.023779297,779.8217914500002,1171.4,0.8220290839672089,0.002397027,273,559104
-0.0073799067,561152,4.228466,520,1114.1650223731995,3.738134,0.03178711,792.7793147000001,1189.43,0.9323789924383163,0.0030163191,274,561152
-0.0052167713,563200,4.225082,515,1118.099420785904,21.502687,0.03745117,793.2224394100001,1189.02,0.7280779778957367,0.0034155995,275,563200
-0.007027386,565248,4.2444906,500,1122.0745334625244,14.364122,0.066308595,790.56111012,1186.96,0.7461138367652893,0.0059996033,276,565248
-0.003844997,567296,4.270158,510,1126.166417837143,9.9272,0.06616211,790.2214384800001,1186.96,0.7208770215511322,0.005202482,277,567296
-0.004060929,569344,4.2754035,512,1130.1818907260895,9.07242,0.03310547,779.87595879,1172.88,0.8802411407232285,0.0032889165,278,569344
-0.006025742,571392,4.282012,521,1134.1769239902496,16.784908,0.0440918,795.7928075399999,1196.25,0.8076545000076294,0.0036475286,279,571392
-0.003500217,573440,4.281311,511,1138.1076703071594,12.722766,0.04121094,796.12505569,1196.25,0.678397536277771,0.003852791,280,573440
-0.0049014166,575488,4.2794514,497,1142.1089911460876,21.151836,0.029248048,785.7850141400002,1179.8,0.7858376204967499,0.0026063994,281,575488
-0.0016761618,577536,4.290466,500,1146.223072528839,4.596106,0.032128908,795.2891752100003,1194.19,0.8921819776296616,0.002892949,282,577536
-0.0039115613,579584,4.291544,502,1150.3120579719543,9.564865,0.03339844,795.3946036500002,1194.19,0.6602316200733185,0.0031091182,283,579584
-0.0016430735,581632,4.2894297,499,1154.3862886428833,12.672937,0.0359375,774.3094535199999,1165.28,0.7956136018037796,0.0033902233,284,581632
-0.0036703912,583680,4.2865477,518,1158.483960390091,3.6697872,0.032714844,785.3407157400001,1180.11,0.9278234615921974,0.003146715,285,583680
-0.0036075986,585728,4.2817993,515,1162.4368839263916,10.520345,0.023535157,799.01005175,1198.73,0.754806712269783,0.0022983623,286,585728
-0.004867639,587776,4.2617974,495,1166.4114253520966,11.701151,0.046777345,798.4048616,1198.73,0.8160683512687683,0.0044922326,287,587776
-0.0054561934,589824,4.2478857,501,1170.5439810752869,21.323486,0.038378906,788.6681318300001,1187.98,0.7523313611745834,0.003272523,288,589824
-0.0059341444,591872,4.257304,507,1174.628015756607,7.001113,0.03720703,781.8895203699999,1177.18,0.8488849401473999,0.003200864,289,591872
-0.0047375066,593920,4.2555933,520,1178.6643030643463,12.0212,0.04135742,782.54546585,1177.18,0.7463468611240387,0.003907115,290,593920
-0.0027364595,595968,4.2578926,501,1182.6009888648987,8.811714,0.020947266,782.4030252900001,1177.18,0.7901194095611572,0.0021325047,291,595968
-0.0043627936,598016,4.2586203,518,1186.6876208782196,15.357966,0.040234376,774.1664751900003,1167.92,0.8064769953489304,0.0037444725,292,598016
-0.0068602003,600064,4.2627907,514,1190.6400907039642,14.781438,0.050683595,765.4041670299999,1154.0,0.8653926253318787,0.0054501924,293,600064
-0.0071741818,602112,4.274044,523,1194.6222372055054,7.246127,0.06796875,748.95868963,1133.35,0.9162218570709229,0.0059607183,294,602112
-0.0032193854,604160,4.28337,512,1198.535433769226,13.767347,0.039648436,762.9176957599999,1153.35,0.611534595489502,0.0037611504,295,604160
-0.008462745,606208,4.28572,489,1202.5321383476257,12.609793,0.054345705,776.78550464,1171.7,0.7407980561256409,0.004586849,296,606208
-0.0031268806,608256,4.287471,503,1206.71346616745,12.959761,0.024658203,755.7193280899999,1144.11,0.860549196600914,0.0025324863,297,608256
-0.0020116204,610304,4.278428,505,1210.7780876159668,14.193068,0.051367186,769.63785788,1162.75,0.5786571502685547,0.004679453,298,610304
-0.0022033933,612352,4.2599783,498,1214.8303475379944,8.715593,0.0296875,770.8687267400002,1162.75,0.7703182548284531,0.0029138592,299,612352
-0.0025977264,614400,4.2475524,493,1218.9394285678864,11.116075,0.03618164,784.27279364,1181.39,0.6670069694519043,0.0031241362,300,614400
-0.0043917783,616448,4.2403116,497,1223.0950543880463,9.977196,0.046728514,798.05510194,1200.06,0.7364718317985535,0.004000006,301,616448
-0.004584649,618496,4.2410107,489,1227.208612203598,17.054344,0.05263672,815.73571831,1222.84,0.7488733232021332,0.0045615183,302,618496
-0.008119006,620544,4.248521,500,1231.3900504112244,16.504862,0.04575195,806.25624314,1206.86,0.8045429140329361,0.003869595,303,620544
-0.0008214597,622592,4.263701,520,1235.4812581539154,11.790214,0.029492188,819.75618856,1225.45,0.6728488504886627,0.0027353598,304,622592
-0.0076135593,624640,4.283,515,1239.418452501297,14.805666,0.07890625,807.00461159,1205.52,0.7936052531003952,0.0063554235,305,624640
-0.002556317,626688,4.2976513,506,1243.3929908275604,14.5796175,0.04472656,814.6656456000002,1214.83,0.7514071315526962,0.004053703,306,626688
-0.0058733043,628736,4.284122,527,1247.4372000694275,3.1318994,0.0418457,802.20525464,1197.74,0.9510632939636707,0.004092404,307,628736
-0.0036609173,630784,4.275115,517,1251.3224909305573,24.96122,0.022558594,778.15954851,1161.21,0.7800489813089371,0.0024290234,308,630784
